15
REDSKINS
GIANTS 
4
R 3	
G 3
R 2
G 3
LIONS
TEXANS
10
T 1
T 1
L 3
T 2
T 1
L 3
L 2
T 7
L 6
L 1
PACKERS
REDSKINS
8
P 3
R 3
P 7
R 2
P 7
P 3
R 3
R 7
PACKERS
REDSKINS
8
P 5
R 5
P 5
R 5
P 5
P 5
R 5
R 5
FALCONS
BRONCOS
4
B 2
F 3
B 7
F 7
SEAHAWKS
BENGALS
0
COLTS
PATRIOTS
6
P 7
P 7
P 7
P 7
P 7
P 7
BILLS
VIKINGS
11
B 3
V 3
V 3
B 7
B 7
V 7
V 7
B 3
V 3
B 7
V 7
ROCKETS
SPURS
76
R 2
S 2
R 3
S 2
R 2
S 4
R 1
S 3
R 2
S 3
R 1
R 2 
R 2
R 3 
R 2
S 2
S 1
S 2
S 2
R 2 
R 2
S 3
S 3
S 3
R 2 
R 2
R 2 
S 3
S 3
R 2
R 3
R 1
R 1
R 1
S 2
S 3
S 1
S 2
R 3
R 2
R 1
S 2
S 2
R 2
R 2
R 2
R 2 
S 3
S 2
R 2
S 3
S 2
S 1
S 1
R 2
R 2
R 2
R 2
S 1
S 1
S 3
S 2
S 3
S 2
R 2
R 2
R 1
R 3
R 2
S 2
S 1
S 2
R 3
R 2
S 2
R 3
TITANS
PANTHERS
1
P 7
SAINTS
JETS
7
J 7
S 7
J 7
S 7
J 7
S 7
J 7
DOLPHINS
RAVENS
0
STEELERS
COWBOYS
10
S 3
C 3
C 3
S 3
S 3
C 3
C 3
S 3
S 3
C 3
BUCKS
MAVERICKS
204
M 2
B 2
M 2
B 2
M 2
B 2
M 2
B 3
B 3
B 1 
M 3
M 3
M 3
B 2
B 3
B 2
B 3
B 3
M 2
M 2
B 3
B 3
M 3
M 2
B 3
M 3
M 3
M 2
M 1
B 1 
B 1
B 2
B 3
B 3
B 4
B 2
B 1
B 2
M 3
M 2 
M 1
M 2 
M 2
M 2
B 3
B 2 
B 2
M 2
M 2
M 2
M 3
B 1
B 1 
B 1 
B 3
M 3
M 3 
M 2
B 1 
B 3
M 2
M 2 
B 3
B 1
M 2
B 1 
B 3 
B 2 
M 2 
M 1
M 3 
B 3 
B 2
B 1 
B 1
B 2
B 2
M 4
M 3
M 2
M 1 
M 2
B 2
B 1 
M 3
M 2
M 3
M 1
M 3
M 2
B 3
B 2
B 1
B 2
B 2
B 2
M 2
B 2
B 2
M 2
M 2
B 3
M 2
B 2
M 2
B 2
M 2
B 2
M 2
B 3
B 2
B 3
B 3
M 2
M 2
B 3
B 3
M 3
M 2
B 3
B 3
B 1 
M 3
M 3
M 3
B 2
B 3
M 3
M 3
M 2
M 1
B 1 
B 1
B 2
B 3
B 3
B 2
M 2
M 2
M 2
M 3
B 1
B 1 
B 1 
B 3
M 3
M 3 
B 4
B 2
B 1
B 2
M 3
M 2 
M 1
M 2 
M 2
M 2
B 3
B 2 
M 2
B 1 
B 3
M 2
M 2 
B 3
B 1
M 4
M 3
M 2
M 1 
M 2
B 2
B 1 
M 3
M 2
M 3
M 1
M 3
M 2
B 1 
B 3 
B 2 
M 2 
M 2
B 3
B 2
B 1
B 2
B 2
B 2
M 2
B 2
B 2
M 2
M 2
B 3
M 1
M 3 
B 3 
B 2
B 1 
B 1
B 2
B 2
CAVALIERS 
HEAT
120
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
C 2
H 2
C 3
H 3
