60
15 5
33 2
17 1
0 b
0 0
5 5
1031415 8
97 7
82 0
97 7
93 4
61 3
87 b
40 8
17 c
758767116 6
669157216 a
530307302 7
140331293 7
747047310 2
477924968 8
598276700 f
848380019 b
181505790 8
378233116 1
304787789 9
312628685 d
559194275 e
256199326 9
672248239 2
829220132 0
365804733 5
623146169 b
115302261 0
117764857 4
743473416 a
192941403 a
49895618 f
344515940 0
273164095 3
339922976 2
664091447 0
481163621 a
195924095 d
695074267 c
825648405 7
70693405 5
195019537 1
466359638 e
862418118 3
700582862 0
309441298 f
155178571 8
89000135 5
749540150 7
344480521 5
176439433 8
62289762 7
724853036 5
380757408 a
