9
36
661 59 1452 1338 1438
2923 3796 4796 1 2781
1742 20 626 2230 7553
42 2113 7450 5034 3516
5381 31 5665 101 19
11100 4028 2 6336 4683
35 8975 2908 3177 49
389111
40
76 4319 6859 286 172811
8442 32530 29 4170 2890
61 1044 4478 28310 1619
5093 2500 68 5939 5
55 6105 2841 1207 5
4207 12 2248 1967 124715
13 1613 7391 45 4855
60 4949 28 5488 1755
9
1 22 333 4444 55555
678 713 80200 9000
8
9 111 123 151 200
500000 200202 48192
14
3599 6722 2792 5291 6490
4655 5335 2568 1892 4886
1868 2971 1250 3761
2
1812732 98
23
14905 14081 15397 14310 11
18498 17479 16588 11695 11797
13219 17603 19033 16324 16511
18755 16474 19596 15858 11421
18912 17043 17162
1
1999992
45
204 8538 5609 546 1289
8528 537 605 261 233
9346 9695 9028 1525 1093
1375 9539 7566 4303 3683
6346 494 6019 6710 4349
6739 1768 1887 4951 3466
2741 8400 272 692 4147
4923 8094 3581 5057 2169
1946 7915 6946 9333 84
