10
3
40 DOLLARS
15 DIMES
4 DOLLARS
10
15 DIMES
4 DOLLARS
300 PENNIES
7 DOLLARS
5 QUARTERS
45 QUARTERS
40 NICKELS
40 PENNIES
35 NICKELS
20 QUARTERS
5
20 QUARTERS
26 DIMES
11 NICKELS
11 DIMES
12 NICKELS
5
25 QUARTERS
25 DIMES
15 NICKELS
15 DIMES
17 NICKELS
7
10 PENNIES
11 PENNIES
12 PENNIES
13 PENNIES
14 PENNIES
15 PENNIES
16 PENNIES
5
5 PENNIES
5 DIMES
5 QUARTERS
5 NICKELS
5 DOLLARS
6
50 PENNIES
50 DIMES
50 QUARTERS
50 NICKELS
50 DOLLARS
1 PENNIES
10
15 QUARTERS
45 DOLLARS
45 DIMES
5 DOLLARS
5 QUARTERS
45 QUARTERS
40 NICKELS
40 PENNIES
35 NICKELS
20 QUARTERS
10
43 QUARTERS
44 DIMES
45 DIMES
1 DOLLARS
5 QUARTERS
45 QUARTERS
40 NICKELS
40 PENNIES
35 NICKELS
20 QUARTERS
1
20 PENNIES

