50
2 4 1 1 10
1 1 1 1 2
31415 92653 58979 32384 626433827
3 4 2 6 80
3 4 2 6 72
5 5 2 2 209
5 5 2 2 210
5 5 2 2 211
5 5 2 2 213
5 5 2 2 214
5 5 2 2 215
1 1 100 100 1
2 1 1 1 99999999
1249 12043 7822 1923 999999999
1000000000 1000000000 1000000000 1000000000 1000000000
41 22 49 36 259960126
47 9 31 8 941655917
44 25 20 38 735435112
17 9 44 27 758768115
13 40 23 32 576969382
16 9 15 45 613096843
37 5 29 41 299311206
36 42 44 34 848381018
26 11 18 23 58920963
19 19 19 29 559195274
31 16 40 20 672249238
6 22 22 11 623147168
26 7 42 2 117765856
48 9 45 46 390192365
12 49 23 3 556746765
21 22 17 8 339923975
6 40 1 29 813064424
41 24 12 29 695075266
38 28 38 16 70694404
11 12 3 28 518000680
43 7 42 1 309442297
34 10 17 6 185898643
45 16 21 47 175331053
11 41 17 4 265232098
44 12 23 24 189551997
42 41 49 25 221201731
31 36 13 46 362181625
48 40 46 28 656483851
20 32 20 39 850342743
8 42 48 34 750031556
25 47 25 16 396255964
44 30 45 16 497886027
449550123 904809577 615686404 764298008 844005824
814977014 825917312 360789887 185191124 10625678
253996638 185268876 317021832 151724871 83009583
